feature,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-2399,,599.0411474199706,599.0515479904784,599.0319247435989,0.003438141415771399,257.64467228057435,264.79760252910984,261.2790233276315,254.46568877262916,252.67906009287103,2.1534539089784053
FT-2400,,312.142256725846,312.1484732765185,312.1357130133334,0.001680447608001042,257.7805377261346,268.9806969787729,261.7658644381222,254.54358577850974,251.98162317276143,1.9110049306088868
FT-2401,,246.9504892520857,246.95595045241527,246.94640312164833,0.0015525782315553441,260.8796670057674,270.8092544192347,267.0311080340003,256.03076299776,254.97078509558332,1.927210925768559
FT-2402,,285.04193860169516,285.04635974865454,285.0369099253762,0.0017363098392579855,264.9207935424444,268.6003068246304,268.522863227357,262.7735786754843,260.2295793357588,1.3087347087896788
FT-2403,,201.11240718713677,201.11623675404718,201.10867293804304,0.001295382285893511,266.94638992925366,271.70393744453264,268.4817442152593,264.50279476709113,262.3083975275948,0.7564933880190612
FT-2404,,165.05494791086028,165.0590356777994,165.05105425615005,0.0010194680400968806,263.2607242632457,272.510692105977,266.00357510585496,261.13018547168446,257.18496627807804,0.8030887764458235
FT-2405,,121.06517580700894,121.06847993509244,121.0619902097924,0.0010412457325805818,263.5785496833276,271.23121462135595,266.6316090756325,261.2408247243734,257.96429758874075,1.0784210824214615
FT-2406,,369.0266104020994,369.03322395834766,369.0207362905112,0.002169115126554465,263.06817656590187,270.60339987815007,265.45543866345895,261.33056787570524,257.98331887872183,0.7770795370250185
FT-2407,,211.09652806522632,211.1004815350717,211.09205176162203,0.001197722505588063,263.126319564739,271.0594814413838,266.03569173539216,261.36751651778013,258.0629878846717,0.8208186265715584
FT-2408,,256.0897797107551,256.0947282039231,256.0850187060511,0.001445588688933259,263.0536191937736,270.66029368999483,265.74945771143143,261.3859406902002,258.09851546620087,0.7462275432069754
FT-2409,,246.07356039713514,246.07843820593,246.0695419953308,0.0012809298202663723,266.3434243338953,278.17426610044,268.5402060412813,262.6275248776052,257.6724313004875,1.201152455435286
FT-2410,,255.0862681005267,255.0915594848745,255.08084654953265,0.0014013399883429489,263.38564063116365,276.215038265131,265.52888265958967,261.73530800746704,257.42473894938877,0.7456072235499206
FT-2411,,277.1545057548191,277.1593373253115,277.15107295463054,0.0016051505628203512,266.2647449918376,271.5830290594782,267.65444182628556,264.67565408613575,261.23667916585583,0.6208568971041203
FT-2412,,141.09132030880517,141.09525335168962,141.08816567479062,0.0009723011537178116,266.4192933601128,269.4384130518447,268.44084364329586,265.05962588013546,261.2759084904376,0.6045551867419567
FT-2413,,246.5753085307476,246.57943311514185,246.57183396793008,0.0012997149909160879,266.1726754038349,275.6479213295936,268.5142140291229,262.7139969888655,258.5176824941839,1.320024751176754
FT-2414,FT-2439,199.0965680048654,199.10066242845025,199.0931703171,0.001165634529338371,267.29368594201725,273.73207623250073,268.53618578445656,265.086440564224,261.84434973226394,0.6572535319245095
