,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-2412,,141.09132030880517,141.09525335168962,141.08816567479062,0.0009723011537178,266.4192933601128,269.4384130518447,268.44084364329586,265.05962588013546,261.2759084904376,0.6045551867419567
FT-2415,,329.06801245005846,329.0739407469055,329.0627404850641,0.0018428359213655,266.3817659262071,271.76635006017926,268.2533742273649,264.56376883364806,261.4405744117537,0.718467980112394
FT-2417,,127.07576514921088,127.078730417041,127.07221862025644,0.0009982565417259,266.3216292894429,271.4897895873834,268.53321157355055,263.8848634505854,261.63452952465684,0.7395733770025524
FT-2419,,389.0884541313709,389.09414933506406,389.081395415893,0.0023161763788852,266.2969527644825,271.8876513413025,267.7761126832684,264.2058998239702,260.7968373809491,0.6602572379387475
FT-2422,,275.1488200486063,275.15272802348096,275.1439659978985,0.0013225036551625,266.46147768673427,278.25161588877586,268.28327157762305,264.8260802787336,258.5099387832371,0.6643527387275732
FT-2424,,276.15226944994856,276.1576401551732,276.1477638394658,0.0014710516980259,266.35592382905577,273.9124791438793,268.4562260533307,264.90397326457185,260.2940870553963,0.678580111143868
FT-2425,,171.06541444509014,171.06936385538145,171.0618491607487,0.0009844786968452,266.5658401664076,274.95250684596425,268.5031401308856,265.13033324075764,260.77557984367064,0.6531550391928473
FT-2426,,299.0212139172543,299.0251220666562,299.01618452051827,0.0014694989329255,266.8793214942443,269.90148832631235,268.5552992064356,265.40947753864384,261.7498604086863,0.6316165419545152
FT-2427,,204.0656885818948,204.06980739939027,204.06218216691272,0.0011977354461565,267.59028839988275,273.5160849545454,268.5606414309633,265.649314621373,261.7606272568508,0.5894804478031834
FT-2429,,185.08103405836124,185.08554123953144,185.07707611210608,0.0010818844785815,267.1576349857856,270.12420589008366,268.5410532189016,265.87837790899874,261.3824818478177,0.5390397661242793
FT-2430,,153.09136569608373,153.09572502388187,153.08757594228572,0.0012569527079209,269.86360365456585,276.2248762103102,272.5079142418649,268.5664722608366,264.0868325164316,0.7928231543137609
FT-2431,,185.0810229219431,185.08576778433255,185.0767755179352,0.001044510782409,274.77014512993003,286.6837013654499,277.4587700916942,269.16158021051604,269.346687714913,1.3639116430358522
FT-2432,,386.1709917199355,386.17798429205794,386.1640167939393,0.0019144405855431,270.6869796634417,278.51942771283416,273.8901842165159,268.5808440849973,264.7788967751375,1.102961093678437
FT-2433,,245.13811671422707,245.14205476401173,245.1329040527344,0.0014245000509568,278.2255282337094,282.17300461332906,284.2957309368723,272.8941422539416,273.66550899246846,1.089611395690412
FT-2434,,245.1382980023454,245.1429107470811,245.133924090909,0.0012336436526665,293.64147952743866,300.5407324938538,295.814514224159,291.1001535294685,290.3472124563715,0.7016238902587104
FT-2435,,245.13822985489716,245.14356799704544,245.13286012825264,0.0014971372599928,287.4468801025717,291.7370125702868,290.507112047054,284.50320512210163,281.51595404875167,1.0790062806909897
FT-2445,,385.1677426121883,385.1740987634705,385.16233234619136,0.0016828798827835,270.78373597146174,281.0487419510572,273.9400078828107,268.6538692537501,264.1202461299245,1.08758916588022
FT-2447,,186.0844707967988,186.08887353513464,186.080234108325,0.0011959968198763,273.4442133290471,282.1656823644808,276.60203700673605,270.1174716033698,266.65828300981866,1.591763466347922
FT-2451,,97.06531889159146,97.06883522285084,97.0620094520759,0.0009471397924512,273.0779997134306,278.21277270351766,275.42068895771035,271.7034270368799,268.7216245692972,0.6457369597572765
FT-2453,,189.11222225370855,189.1170586010355,189.1078135051323,0.0013841295473107,275.25641621338553,279.88773720039944,278.7913438197831,272.6493958315846,270.60128807363105,0.8839344032732737
FT-2454,,229.1070015326512,229.1119280504733,229.1020225255673,0.0014614589456888,287.4111902118487,292.8514517217451,289.6555884770459,284.8119903365189,282.47059524922435,0.8066330819372254
FT-2455,,229.1070493025126,229.111737115117,229.10187902384652,0.0014611715761342,274.1507590471879,279.995402860206,277.6935116627842,270.3193069372947,268.862054670175,1.0982861353339883
FT-2456,,229.10710183874195,229.11174669184,229.10205864010447,0.001380204408817,297.01306011229394,301.4730831755262,300.17170369217746,294.64047626492936,293.34298310159915,0.9574173996670122
FT-2457,,259.02660597667966,259.0316936633922,259.02128082672834,0.001585987629561,273.6958795936787,280.7778370196942,278.9928262240616,270.4954202999065,268.5515095637311,1.772722641543971
FT-2458,,141.0913342409408,141.0954241913392,141.08774905738042,0.0009632536928695,274.6798767878283,285.8275596366417,280.2283511813106,271.0122414171707,268.8689163893663,1.026206705331526
FT-2459,,142.09479007728794,142.09831494417622,142.0906576636659,0.0011590726435301,274.041677539924,280.8785580479781,276.3356975630843,271.1216021949049,267.6417965112688,1.0810943360403058
FT-2460,,237.11214643816223,237.11573371470013,237.10828015878832,0.0015188102992413,273.6731453649785,279.9767179309166,275.68062848716863,272.0312737691107,268.8141318986966,0.8843162207105387
FT-2463,,273.0418856599495,273.04640000171867,273.036938796412,0.0017116458036411,289.0914739157459,295.3962683321797,303.509011054953,276.62581541428585,283.8888061580388,3.557632765457322
FT-2464,,294.9900355732643,294.9958739106302,294.98386493439017,0.0019827524348236,277.12173492457634,283.695763649019,285.2795631724133,274.17748520429154,271.3076292705077,2.067658544437392
FT-2467,,273.13040382943456,273.1376694176579,273.1202461866924,0.0036724339477979,281.7116124178301,286.5165806707974,285.056584414797,277.99784060805246,277.0831305067093,1.2442614977269335
FT-2468,,350.1498463669602,350.15676953922724,350.1431433090625,0.0020324492677842,282.7889098765157,289.94623347632074,286.9403133816048,278.78716427411047,277.90140127152847,2.1269948619242847
FT-2471,,387.183217275356,387.1898468566534,387.1759111165026,0.0021525406630155,283.0168019468602,290.1926787100134,287.1541748989678,280.1865308976608,278.14771774773226,1.150266960611402
FT-2472,,246.14173502381917,246.1475619161087,246.13631822337305,0.0016356554666637,288.01085275805167,292.8678006863376,291.64563322100383,284.6809963593595,282.6143325140692,1.2971349173332365
FT-2473,,246.14189815811827,246.1467479693216,246.13722089712945,0.0014175276237744,293.5532804475184,298.8352670902118,295.69713743423165,291.7877452719004,290.317604018424,0.7257987753294871
FT-2474,,157.0860848720351,157.09021959476564,157.08292276916518,0.0011372482554564,289.9598530251692,297.06836161406085,297.1154718863851,281.3491369301736,282.9382543978448,2.528559841498056
FT-2475,,211.09657365918736,211.1008054560815,211.09254258629315,0.0012951799084802,283.9365200246474,292.5513677480752,290.6792545856516,281.7066267836872,277.4234997353892,1.0756972595302106
FT-2478,,383.1519932053308,383.15949076834505,383.1446573114755,0.0021637671702202,285.629964221382,291.78269695817454,288.6021903657201,283.31270313130614,281.12485643017874,1.1046567905617506
